title,rooms,price,type,location,link,broker,piclink,bedrooms,bathrooms,neighborhood,city,region
Se vende en el pueblo de Camuy 787-81...,3 Cuartos | 2 Baños,166000.0,Casa,"Barrio-Cocos , Quebradillas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838466,Cocos de José Luis Delgado  Lic. 14955,https://imgcache.clasificadosonline.com//media/defaultnew.png,3,2,Barrio-Cocos,Quebradillas, north
Las Veredas control d acceso 100% d f...,3 Cuartos | 2 Baños,166000.0,Casa Repo,"Urbanizacion-Las Veredas , Camuy",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838435,Las Veredas de José Luis Delgado  Lic. 14955,https://imgcache.clasificadosonline.com//PP/FS/2025/1/11/01112025180140bym3pe5j.jpeg,3,2,Urbanizacion-Las Veredas,Camuy, north
"Calle Mc Arthur, casco urbano, Guayam...",,55000.0,Comercial,"Sector-Pueblo , Guayama",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4798932,Pueblo de Clary Gierbolini Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2024/3/30/03302024095516kbsplwum.jpeg,0,0,Sector-Pueblo,Guayama, south
Hacienda Margarita con la mejor vista,4 Cuartos | 2 Baños,880000.0,Casa ,"Urbanizacion-Hacienda Margarita , Luquillo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4832243,Hacienda Margarita de Full House LLC,https://imgcache.clasificadosonline.com//PP/FS/2024/11/15/11152024070236is0w4kck.jpg,4,2,Urbanizacion-Hacienda Margarita,Luquillo, east
Finca de 26 cuerdas  en Carite Guayama,,150000.0,Finca,"Barrio-Carite , Guayama",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4790688,Carite de FullHouse RE,https://imgcache.clasificadosonline.com//PP/FS/2024/2/6/02062024094715hedla5f1.jpg,0,0,Barrio-Carite,Guayama, south
Amazing Beachfront Lot - LAS PICUAS,,495000.0,Solar ,"Barrio-Las Picuas , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4699128,Las Picuas de Enjolie Hernández Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2023/4/25/04252023083343llexz0tu.JPG,0,0,Barrio-Las Picuas,Río Grande, east
APARTAMENTO VISTA AL MAR RINCON OCEAN...,2 Cuartos | 2 Baños,250000.0,Apartamento,"Condominio-Rincon Ocean Club , Rincón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4734664,Rincon Ocean Club de 20/20 Realty PR,https://imgcache.clasificadosonline.com//PP/FS/2023/4/4/04042023095353alkwjlkr.jpg,2,2,Condominio-Rincon Ocean Club,Rincón, west
Pueblo Salinas Carr no.1 (Comercial),,200000.0,Comercial ,"Barrio-Pueblo , Salinas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4607892,Pueblo de Clary Gierbolini Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2021/7/14/07142021113927s5itv5ro.jpeg,0,0,Barrio-Pueblo,Salinas, south
REPARTO ALEXANDRA,3 Cuartos | 3 Baños,379000.0,Casa,"Barrio-Algarrobo , Vega Baja",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4749876,Algarrobo de ANFE ADORNO,https://imgcache.clasificadosonline.com//PP/FS/2023/6/14/061420231709530rqqatfi.JPG,3,3,Barrio-Algarrobo,Vega Baja, north
COMERCIAL PALMER CALLE PRINCIPAL DEL ...,,250000.0,Comercial ,"Barrio-Palmer , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4801417,Palmer de FullHouse RE,https://imgcache.clasificadosonline.com//PP/FS/2024/4/9/0409202410502532hd5ots.jpg,0,0,Barrio-Palmer,Río Grande, east
Se vende en el pueblo de Camuy 787-81...,3 Cuartos | 2 Baños,166000.0,Casa,"Barrio-Pueblo , Hatillo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838465,Pueblo de José Luis Delgado  Lic. 14955,https://imgcache.clasificadosonline.com//media/defaultnew.png,3,2,Barrio-Pueblo,Hatillo, north
BO. JAUCA COLMADO TIENDA NUEVA,3 Baños,94000.0,Comercial ,"Barrio-Jauca , Santa Isabel",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4765174,Jauca de ANFE ADORNO,https://imgcache.clasificadosonline.com//PP/FS/2023/9/11/091120232034244f0o1mol.JPG,0,0,Barrio-Jauca,Santa Isabel, south
Reparto Llanadas,,77000.0,Solar,"Barrio-Llanadas , Barceloneta",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838463,No Broker,https://imgcache.clasificadosonline.com//FF/FS/2025/1/12/01122025074416h4ymp0ge.jpeg,0,0,Barrio-Llanadas,Barceloneta, north
"Real Beachfront, Puntas, Sandy Beach ...",,750000.0,Solar ,"Barrio-Puntas , Rincón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4830991,Puntas de Lino Feliciano Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2024/11/5/11052024104430ybzal2bc.jpg,0,0,Barrio-Puntas,Rincón, west
Penthouse 8th Floor Beachfront $615K,2 Cuartos | 2 Baños,615000.0,Apartamento,"Condominio-Estela Del Mar Cond , Rincón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4833553,Estela Del Mar Cond de Lino Feliciano Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2024/11/25/11252024090306i5ead1bs.jpg,2,2,Condominio-Estela Del Mar Cond,Rincón, west
"Bo. Rocha Sector Lasalle $129,000 3/2",3 Cuartos | 2 Baños,129000.0,Casa Repo,"Barrio-Rocha , Moca",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838459,Rocha de MR VELAZQUEZ REALTY,https://imgcache.clasificadosonline.com//PP/FS/2025/1/12/0112202507065523cflp1u.JPG,3,2,Barrio-Rocha,Moca, west
VENTA DE SOLAR CERCA DE MONTEHIEDRA,,145000.0,Solar,"Barrio-Caimito Alto , San Juan - Río Piedras",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4767130,Caimito Alto de J REALTY,https://imgcache.clasificadosonline.com//PP/FS/2023/9/21/09212023163107ytvrarhw.jpeg,0,0,Barrio-Caimito Alto,San Juan - Río Piedras, metro
Urb. Santa Maria Moderna de Esquina,5 Cuartos | 4 Baños,2300000.0,Casa ,"Urbanizacion-Santa Maria , San Juan - Río Piedras",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4836430,Santa Maria de Full House LLC,https://imgcache.clasificadosonline.com//PP/FS/2024/12/20/12202024145913zgay1d5i.jpg,5,4,Urbanizacion-Santa Maria,San Juan - Río Piedras, metro
2-Story Apartmento for Sale ,3 Cuartos | 2 Baños,499999.0,Apt/WalkUp,"Condominio-Harbour Lakes Palmas del Mar , Humacao - Palmas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838368,Harbour Lakes Palmas del Mar de Jose Juan Vazquez,https://imgcache.clasificadosonline.com//PP/FS/2025/1/11/01112025080346vocpkgnf.jpg,3,2,Condominio-Harbour Lakes Palmas del Mar,Humacao - Palmas, east
"Unique investment opportunity, Renova...",2 Cuartos | 2 Baños,450000.0,Casa ,"Urbanizacion-Solimar , Luquillo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4836368,Solimar de Enjolie Hernández Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2024/12/20/1220202407182255yfb4ax.jpg,2,2,Urbanizacion-Solimar,Luquillo, east
Asford Medical Plaza Guayama,1 Baños,200000.0,Comercial,"Sector-Pueblo , Guayama",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4827990,Pueblo de Clary Gierbolini Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2024/12/8/12082024074443bwncm5sj.jpeg,0,0,Sector-Pueblo,Guayama, south
167 4TH Street (7Th),3 Cuartos | 2 Baños,129000.0,Casa Repo,"Barrio-Bambu , Moca",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838456,"Bambu de ALICEA REALTY GROUP LLC, Ponce",https://imgcache.clasificadosonline.com//PP/FS/2025/1/12/011220250425131q4soiyp.jpg,3,2,Barrio-Bambu,Moca, west
Avenida Roosevelt Edificio de 16200 p...,2 Baños,2000000.0,Comercial,"Urbanizacion-Roosevelt , San Juan - Hato Rey",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4807440,Roosevelt de FullHouse RE,https://imgcache.clasificadosonline.com//PP/FS/2024/5/20/05202024172247qn20a5lq.jpg,0,0,Urbanizacion-Roosevelt,San Juan - Hato Rey, metro
"urb.Miraflores.mirela Domingo,fotos",3 Cuartos | 1 Baños,114000.0,Casa Repo,"Barrio-Pueblo - Bayamon , Bayamón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838455,Pueblo,https://imgcache.clasificadosonline.com//media/defaultnew.png,3,1,Barrio-Pueblo - Bayamon,Bayamón, metro
Finca 5.35 cuerdas Bo. Camaseyes Agua...,,497000.0,Finca,"Barrio-Camaseyes , Aguadilla",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4774265,Camaseyes de Mosaic Realty PR,https://imgcache.clasificadosonline.com//PP/FS/2024/1/19/0119202404495923p2ikef.jpeg,0,0,Barrio-Camaseyes,Aguadilla, west
Apartamento Condominio El Miramar,3 Cuartos | 2 Baños,825000.0,Apartamento ,"Sector-Miramar , San Juan - Condado-Miramar",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4784883,Miramar de Ivelisse Arroyo Realty,https://imgcache.clasificadosonline.com//PP/FS/2024/1/8/010820241903383h5wazj0.jpg,3,2,Sector-Miramar,San Juan - Condado-Miramar, metro
Playa Dorada piso 8 remodelado,1 Cuartos | 1 Baños,500000.0,Apartamento,"Condominio-Playa Dorada , Carolina - Isla Verde",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4825133,Playa Dorada de Full House LLC,https://imgcache.clasificadosonline.com//PP/FS/2024/9/25/09252024084928kkcyckrq.jpg,1,1,Condominio-Playa Dorada,Carolina - Isla Verde, metro
Urb. Vista del Mar,3 Cuartos | 1 Baños,75000.0,Casa Repo,"Urbanizacion-Vista Del Mar , Ponce",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838454,"Vista Del Mar de ALICEA REALTY GROUP LLC, Ponce",https://imgcache.clasificadosonline.com//PP/FS/2025/1/12/01122025040927gxxwkiqz.jpg,3,1,Urbanizacion-Vista Del Mar,Ponce, south
ESPECTACULAR! CLUSTER 2 1H/2B ,1 Cuartos | 2 Baños,450000.0,Apt/WalkUp,"Urbanizacion-Rio Mar Cluster II (2) , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4801411,Rio Mar Cluster II (2) de FullHouse RE,https://imgcache.clasificadosonline.com//PP/FS/2024/4/9/04092024103820sqrzbufu.jpg,1,2,Urbanizacion-Rio Mar Cluster II (2),Río Grande, east
Marina Boqueron Oportunity,5 Cuartos | > Baños,2000000.0,Apt/WalkUp ,"Barrio-Boqueron Marina , Cabo Rojo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4834069,No Broker,https://imgcache.clasificadosonline.com//FF/FS/2024/11/30/11302024203951c0pp0mdh.jpg,0,0,Barrio-Boqueron Marina,Cabo Rojo, west
"Barrio Guzman Abajo, Rio Grande, LOT ...",,199000.0,Solar,"Barrio-Guzman Abajo , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4674580,Guzman Abajo de Mosaic Realty PR,https://imgcache.clasificadosonline.com//PP/FS/2022/5/31/053120221811260l2meyhb.jpg,0,0,Barrio-Guzman Abajo,Río Grande, east
Updated Beach House with Ocean Views,4 Cuartos | 2 Baños,524900.0,Casa ,"Barrio-Mameyes , Luquillo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4824686,No Broker,https://imgcache.clasificadosonline.com//PP/FS/2024/11/20/11202024165620lnn3333r.jpg,4,2,Barrio-Mameyes,Luquillo, east
Solar de 1000 MTS ,,69000.0,Solar,"Barrio-Membrillo , Camuy",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838458,No Broker,https://imgcache.clasificadosonline.com//media/defaultnew.gif,0,0,Barrio-Membrillo,Camuy, north
Cond View Point: Elegante Apt con Vis...,3 Cuartos | 2 Baños,495000.0,Apartamento ,"Barrio-Monacillos , Guaynabo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4832329,No Broker,https://imgcache.clasificadosonline.com//FF/FS/2024/11/15/11152024145515tq215vk5.jpg,3,2,Barrio-Monacillos,Guaynabo, metro
La Mancha Short Term Rental Friendly,2 Cuartos | 1 Baños,460000.0,Apartamento,"Condominio-La Mancha , Carolina - Isla Verde",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4820865,La Mancha de Full House LLC,https://imgcache.clasificadosonline.com//PP/FS/2024/8/29/08292024082516pi22ggqp.jpg,2,1,Condominio-La Mancha,Carolina - Isla Verde, metro
Acogedor Restaurante Boquerón - Llave...,2 Baños,39000.0,Comercial ,"Barrio-Boqueron , Cabo Rojo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4829189,No Broker,https://imgcache.clasificadosonline.com//PP/FS/2024/10/22/10222024155813qapghftf.jpg,0,0,Barrio-Boqueron,Cabo Rojo, west
Location location! Short term accepted,2 Cuartos | 2 Baños,380000.0,Apt/WalkUp,"Condominio-La Posada , Carolina - Isla Verde",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4809037,La Posada de FullHouse RE,https://imgcache.clasificadosonline.com//PP/FS/2024/7/8/070820241242423urmnpny.JPG,2,2,Condominio-La Posada,Carolina - Isla Verde, metro
SUPERMERCADO en funcionamiento en Nar...,2 Baños,350000.0,Comercial ,"Barrio-Barrio Nuevo , Naranjito",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4837601,No Broker,https://imgcache.clasificadosonline.com//FF/FS/2025/1/4/01042025131921piiwv4if.jpg,0,0,Barrio-Barrio Nuevo,Naranjito, north
Tu Paraíso Frente al Mar Caribe:Vive ...,4 Cuartos | 3 Baños,600000.0,Casa,"Urbanizacion-Peñón De Tallaboa , Peñuelas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4836096,No Broker,https://imgcache.clasificadosonline.com//FF/FS/2024/12/17/12172024173500nvr2vdaf.JPG,4,3,Urbanizacion-Peñón De Tallaboa,Peñuelas,
SE VENDE CASA PLAYA VISTA AL MAR PLAY...,3 Cuartos | 2 Baños,290000.0,Casa ,"Sector-Playa Santa , Guánica",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4836849,No Broker,https://imgcache.clasificadosonline.com//FF/FS/2024/12/26/12262024135943jx2mr3xp.PNG,3,2,Sector-Playa Santa,Guánica, south
lot 1033m2 Vista al Mar Vistas de Yun...,,140000.0,Solar,"Urbanizacion-Vistas De Yunque Mar , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4829813,Vistas De Yunque Mar de Mosaic Realty PR,https://imgcache.clasificadosonline.com//PP/FS/2024/10/27/10272024083027w3bajnts.jpeg,0,0,Urbanizacion-Vistas De Yunque Mar,Río Grande, east
"Finca en Jajome Carr. 715 km 5.1, Cay...",,1200000.0,Finca ,"Barrio-Jajome Alto , Cayey",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4833715,No Broker,https://imgcache.clasificadosonline.com//FF/FS/2024/11/26/82147691219922fhgjld45.jpg,0,0,Barrio-Jajome Alto,Cayey, east
CONDOMINIO LOS ALMENDROS,3 Cuartos | 1 Baños,128000.0,Apartamento,"Condominio-Los Almendros Plaza , San Juan - Río Piedras",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4836274,Los Almendros Plaza de Gisele Carballo,https://imgcache.clasificadosonline.com//PP/FS/2024/12/19/12192024092417xabxnepu.jpeg,3,1,Condominio-Los Almendros Plaza,San Juan - Río Piedras, metro
NEW LISTING AQUABLUE! HIGH FLOOR! VIE...,2 Cuartos | 2 Baños,850000.0,Apartamento ,"Condominio-Aquablue , San Juan - Hato Rey",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838277,Aquablue de Sopo Realty,https://imgcache.clasificadosonline.com//PP/FS/2025/1/10/01102025114608khjhcmzc.jpg,2,2,Condominio-Aquablue,San Juan - Hato Rey, metro
"Ceiba Norte,frente a Amgen,click fotos",3 Cuartos | 1 Baños,68100.0,Casa,"Barrio-Pueblo Juncos , Juncos",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838457,Pueblo Juncos de Juan Then Realty,https://imgcache.clasificadosonline.com//media/defaultnew.png,3,1,Barrio-Pueblo Juncos,Juncos, east
ESJ Towers Apto 350,1 Baños,275000.0,Apartamento ,"Condominio-Esj Towers , Carolina - Isla Verde",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4817552,Esj Towers de PMI Puerto Rico,https://imgcache.clasificadosonline.com//PP/FS/2024/8/5/08052024103555pmjfm1ol.jpg,0,0,Condominio-Esj Towers,Carolina - Isla Verde, metro
"Terreno Urb. San Martín, Rio Piedras",,115000.0,Solar,"Urbanizacion-San Martin , San Juan - Río Piedras",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4822705,San Martin de PMI Puerto Rico,https://imgcache.clasificadosonline.com//PP/FS/2024/9/9/09092024142713ql1odnzg.jpg,0,0,Urbanizacion-San Martin,San Juan - Río Piedras, metro
casa tres cuartos dos banos cerca de ...,3 Cuartos | 2 Baños,75000.0,Casa ,"Urbanizacion-Rafael Bermudez , Fajardo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4654045,Rafael Bermudez de JJ ENTERPRISES CORP,https://imgcache.clasificadosonline.com//PP/FS/2022/2/22/02222022125411vprexila.jpg,3,2,Urbanizacion-Rafael Bermudez,Fajardo, east
Casa multifamiliar con guarderia para...,4 Cuartos | 3 Baños,290000.0,MultiFamiliar,"Barrio-Coco Nuevo , Salinas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4822064,No Broker,https://imgcache.clasificadosonline.com//FF/FS/2024/9/4/090420242045122fmgryrm.jpeg,4,3,Barrio-Coco Nuevo,Salinas, south
bo achiote  dos casas 3 ctos 2 banos ...,3 Cuartos | 2 Baños,169000.0,Casa ,"Barrio-Achiote , Naranjito",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4671527,Achiote de JJ ENTERPRISES CORP,https://imgcache.clasificadosonline.com//PP/FS/2022/8/29/08292022132354epmroess.PNG,3,2,Barrio-Achiote,Naranjito, north
